標記內容	宣傳手法	原句
得寸進尺	LL	只 換得 學生 步步 進逼 、 得寸進尺 ，
被 踐踏	LL	但 整 個 政府 的 顏面 可以 如此 被 踐踏 嗎 ？
隨便	LL	台灣 的 政府 體制 可以 伸縮 自如 到 隨便 誰 來 指揮 嗎 ？
危機	LL	馬 政府 的 危機 處理 常常 落入 「 打破 杯子 ，
窘境	LL	賠掉 房子 」 的 窘境 。
摧毀	LL	去年 洪仲丘 事件 幾乎 摧毀 了 整 個 軍隊 的 士氣 和 制度 ，
一敗塗地	LL	馬王 的 九月 政爭 落得 一敗塗地 並 賠上 黃世銘 ，
賠上	LL	馬王 的 九月 政爭 落得 一敗塗地 並 賠上 黃世銘 ，
玩弄 於 股掌 之上	LL	學生 能 將 馬 政府 玩弄 於 股掌 之上 ，
軟弱	LL	莫非 就是 看穿 了 總統 的 軟弱 可 欺 ？
揭竿 而 起	LL	但 就 為 「 反 服貿 」 揭竿 而 起 的 意義 而 言 ，
唱和	LL	與 白 狼 的 糾纏 或是 和 民進黨 在 立院 的 唱和 ，
狗尾續貂	LL	恐怕 都 是 狗尾續貂 。
停損點	LL	竟 連 馬 政府 也 不 設 停損點 、 唾面自乾 地 和 學生 在 那裡 耗 著 ，
唾面自乾 地	LL	竟 連 馬 政府 也 不 設 停損點 、 唾面自乾 地 和 學生 在 那裡 耗 著 ，
耗 著	LL	竟 連 馬 政府 也 不 設 停損點 、 唾面自乾 地 和 學生 在 那裡 耗 著 ，
風暴	LL	《 服貿 風暴 三 大 疑義 ╱ 之 二 》
霸占	LL	國家 能否 由 霸占 國會 者 來 領導
驚駭	LL	實 足 令 人 驚駭 錯愕 。
錯愕	LL	實 足 令 人 驚駭 錯愕 。
錯覺	LL	其實 是 一 種 自我 感覺 良好 的 錯覺 ，
誤解	LL	也 是 對 民主 體制 的 誤解 。
傷痛	LL	卻 亦 有 令 人 感到 傷痛 之 處 ：
諷刺	LL	諷刺 的 是 ，
霸占	LL	如今 若 謂 未 經 國家 選舉 選出 者 竟 能 霸占 國會 ，
挾制	LL	並 挾制 國會 ，
根本	LL	這 根本 是 反 民主 的 行徑 。
一針見血	LL	是 一針見血 之 論 。
風暴	LL	二 、 這 場 風暴 以 大學生 為 主體 ，
嚴重	LL	卻 顯露出 嚴重 的 反智 氛圍 。
權謀 鬥爭	LL	卻 看到 食 藍 綠 權謀 鬥爭 伎倆 之 唾 餘 。
唾 餘	LL	卻 看到 食 藍 綠 權謀 鬥爭 伎倆 之 唾 餘 。
伎倆	LL	卻 看到 食 藍 綠 權謀 鬥爭 伎倆 之 唾 餘 。
暴力	LL	如果 破門 砸 窗 侵入 立法院 不 是 暴力 ，
暴力	LL	什麼 才 叫 「 學生 暴力 」 ；
醜化	LL	又 過度 醜化 對方 ，
暴力	LL	如果 警察 抵 拒 學生 砸 窗破 門 侵入 行政院 為 「 國家 暴力 」 ，
耽溺	LL	學運 耽溺 於 權謀 鬥爭 ，
權謀 鬥爭	LL	學運 耽溺 於 權謀 鬥爭 ，
得寸進尺	LL	得寸進尺 ，
賠上	LL	竟 以 可以 救濟 的 「 程序 正義 」 賠上 分秒必爭 且 無可 逆轉 的 「 台灣 全球化 機遇 」 ，
正大	LL	實現 了 「 解散 國民大會 」 、 「 廢除 臨時 條款 」 等 正大 的 訴求 ；
霸占	LL	但 霸占 立法院 及 侵入 行政院 的 太陽花 ，
陷	LL	卻 自 陷於 「 是 抗中反 中 ？
害台	LL	還是 害台禍台 ？
禍台	LL	還是 害台禍台 ？
今非昔比	LL	其餘 皆 是 今非昔比 。
焦慮 	LL	但 學運 仍 掀起 了 社會 的 焦慮 、 猜疑 與 仇恨 ；
猜疑	LL	但 學運 仍 掀起 了 社會 的 焦慮 、 猜疑 與 仇恨 ；
仇恨	LL	但 學運 仍 掀起 了 社會 的 焦慮 、 猜疑 與 仇恨 ；
惡化	LL	至於 倒掛 國旗 、 占據 國會 亦 恐 會 惡化 國人 的 認同 分裂 ；
倒退	LL	則 這 場 學運 究竟 將 使 台灣 社會 前行 或 倒退 ，
底蘊	LL	一 、 呈現 了 台灣 社會 的 底蘊 ，
衝突	LL	四 、 在 衝突 中 ，
衝擊	LL	【 2014 - 04 - 05 / 聯合報 / A 2 版 / 反 服貿 第19 天 衝擊 兩岸 關係 】
憂慮	LL	而是 新 世代 對 國情 的 憂慮 與 不滿 ，
不滿	LL	而是 新 世代 對 國情 的 憂慮 與 不滿 ，
恐懼	LL	對 兩岸 關係 的 恐懼 與 猜疑 ，
猜疑	LL	對 兩岸 關係 的 恐懼 與 猜疑 ，
引爆	LL	幾 名 學運 發動 者 引爆 了 積 澱 已 久 的 情緒 ，
錯愕	LL	這 難道 不 是 令 人 錯愕 的 反 高潮 ？
恐懼	LL	對 兩岸 關係 的 恐懼 與 猜疑 ，
猜疑	LL	對 兩岸 關係 的 恐懼 與 猜疑 ，
根本	LL	則 其中 哪 一 種 「 新 定義 」 不 是 已經 被 驗證 為 根本 行不通 的 「 老 辦法 」 ？
憂慮	LL	這 場 學運 掀開 了 大家 都 深覺 憂慮 的 問題 ，
抗中	LL	「 反中 ╱ 抗中 」 亦 是 台灣人 的 共同 警覺 ，
抗中	LL	這 場 學運 並 未 對 「 反中 ╱ 抗中 」 提出 任何 新 對策 ；
抗中	LL	只是 將 「 反 馬 」 炒作 成 「 抗中 」 ，
抗中	LL	亦即 又 把 空泛 八股 的 「 抗中 」 轉移 為 殘暴 的 「 內鬥 」 而已 。
空泛	LL	亦即 又 把 空泛 八股 的 「 抗中 」 轉移 為 殘暴 的 「 內鬥 」 而已 。
八股	LL	亦即 又 把 空泛 八股 的 「 抗中 」 轉移 為 殘暴 的 「 內鬥 」 而已 。
殘暴	LL	亦即 又 把 空泛 八股 的 「 抗中 」 轉移 為 殘暴 的 「 內鬥 」 而已 。
「 內鬥 」	LL	亦即 又 把 空泛 八股 的 「 抗中 」 轉移 為 殘暴 的 「 內鬥 」 而已 。
戲碼	LL	其實 只是 複製 了 台灣 不斷 上演 的 「 老 戲碼 」 ，
衝撞	LL	對 憲政 和 民主 法治 的 劇烈 衝撞 ，
引爆	LL	引爆點 雖 是 因 張慶忠 的 卅 秒 快 讀 ，
怒火	LL	但 怒火 其實 是 針對 馬 政府 缺乏 成績 而 燒 。
搖擺不定	LL	對於 民進黨 搖擺不定 、 以 杯葛 為 樂 、 以 撿拾 政治 殘羹 為 食 的 反對 路線 ，
杯葛	LL	對於 民進黨 搖擺不定 、 以 杯葛 為 樂 、 以 撿拾 政治 殘羹 為 食 的 反對 路線 ，
遑論	LL	遑論 人生 歷練 ；
根本	LL	根本 的 問題 在於 ：
一言堂	LL	誰 料 廿五 年 後 竟 會 出現 「 太陽花 黑色 恐怖 一言堂 」 ？
衝撞	LL	太陽 花 學運 強烈 衝撞 馬 政府 ，
動輒	LL	卻 免 受 民進黨 動輒 杯葛 鬧事 的 醜態 牽累 。
杯葛	LL	卻 免 受 民進黨 動輒 杯葛 鬧事 的 醜態 牽累 。
醜態	LL	卻 免 受 民進黨 動輒 杯葛 鬧事 的 醜態 牽累 。
坐收漁利	LL	卻 讓 蔡英文 在 那裡 悠閒 地 坐收漁利 ；
陷	LL	可能 重新 陷入 混沌 ，
嚴重	LL	不僅 將 在 二○一六年 嚴重 威脅 執政黨 ，
威脅	LL	不僅 將 在 二○一六年 嚴重 威脅 執政黨 ，
過激	LL	是 如何 把 這 波 過激 的 浪潮 壓抑 下去 ，
大話	LL	若 為了 幫 小英 抬轎 而 須 將 所有 大話 吞 回去 ，
危機	LL	難道 連 自己 面臨 什麼 危機 都 不 明白 ？
脫序	LL	這 次 學運 固 出現 不少 脫序 行為 ，
衝擊	LL	它 帶給 執政黨 乃至 國家 社會 的 衝擊 是 不可 輕 估 的 。
危機	LL	執政 者 就 真的 看 不 見 自己 的 危機 。
軟弱	LL	一 種 是 沉默 公民 對於 政府 處理 社會 失序 過度 軟弱 的 不滿 。
不滿	LL	一 種 是 沉默 公民 對於 政府 處理 社會 失序 過度 軟弱 的 不滿 。
積極	LL	但 任何 有 責任感 的 政府 都 必須 積極 回應 ，
薄弱	LL	因而 對 馬 政府 處理 問題 運籌帷幄 能力 之 薄弱 感到 失望 。
失望	LL	因而 對 馬 政府 處理 問題 運籌帷幄 能力 之 薄弱 感到 失望 。
荒謬	LL	更 荒謬 的 是 ，
窘境	LL	反映 了 執政黨 的 幾 個 窘境 ：
怯於	LL	怯於 處理 動態 危機 ，
危機	LL	怯於 處理 動態 危機 ，
難辭其咎	LL	馬 主席 的 領導 部署 、 人才 培育 無方 難辭其咎 ；
失 能	LL	決策 上 各 方面 的 失 能 和 軟弱 受到 了 不 信任 ，
軟弱	LL	決策 上 各 方面 的 失 能 和 軟弱 受到 了 不 信任 ，
嚴重	LL	這 要 比 黨 機器 的 不 聽 使喚 更為 嚴重 。
打發	LL	不要 再 用 座談會 或 黨務 改革 方案 來 打發 人民 ！
遑論	LL	遑論 國內 開放 以 刺激 轉型 。
遑論	LL	遑論 有 在 「 大一 中 架構 」 下 分庭抗禮 的 膽識 。
撕裂	LL	但 蔡英文 如果 認為 她 的 「 最後 一 哩 」 應 在 一旦 當選 總統 後 解救 台灣 免於 撕裂 衰亡 ，
衰亡	LL	但 蔡英文 如果 認為 她 的 「 最後 一 哩 」 應 在 一旦 當選 總統 後 解救 台灣 免於 撕裂 衰亡 ，
矛盾	LL	卻 存在 著 基本 的 矛盾 。
挾制	LL	不啻 要 挾制 政府 改採 台獨 路線 的 兩岸 政策 。
剝奪	LL	強調 世代 剝奪 及 貧富 差距 ；
破滅	LL	如果 這 場 反 服貿 的 反 自由化 、 反 全球化 的 「 左派 風暴 」 破滅 了 台灣 加入 ＴＰＰ 及 ＲＣＥＰ 的 憧憬 ，
迫使	LL	實則 將 迫使 台灣 在 九成 以上 的 出口 市場 中 較 競爭 者 多 付 五％ 至 十％ 的 關稅 ；
根本	LL	更 根本 的 問題 是 ：
煽動	LL	卻 用 它 來 煽動 仇恨 鬥爭 的 情緒 。
鬥爭	LL	卻 用 它 來 煽動 仇恨 鬥爭 的 情緒 。
仇恨	LL	卻 用 它 來 煽動 仇恨 鬥爭 的 情緒 。
衝突	LL	乃至 衝突式 的 當街 趴 車 阻擋 ，
引爆	LL	容易 引爆 衝突 ，
衝突	LL	容易 引爆 衝突 ，
優柔寡斷	LL	包括 總統 的 優柔寡斷 、 行政 部門 的 荏弱 消極 、 立法 部門 的 僵峙 癱瘓 、 在野黨 的 無理取鬧 ，
荏弱 消極	LL	包括 總統 的 優柔寡斷 、 行政 部門 的 荏弱 消極 、 立法 部門 的 僵峙 癱瘓 、 在野黨 的 無理取鬧 ，
無理取鬧	LL	包括 總統 的 優柔寡斷 、 行政 部門 的 荏弱 消極 、 立法 部門 的 僵峙 癱瘓 、 在野黨 的 無理取鬧 ，
癱瘓	LL	包括 總統 的 優柔寡斷 、 行政 部門 的 荏弱 消極 、 立法 部門 的 僵峙 癱瘓 、 在野黨 的 無理取鬧 ，
政府 的 失 能	LL	在在 顯示 了 政府 的 失 能 。
指控	LL	人民 已經 沒有 耐性 再 聽 雙方 的 指控 與 託詞 。
託詞	LL	人民 已經 沒有 耐性 再 聽 雙方 的 指控 與 託詞 。
羞辱	LL	那些 立委 和 官員 們 面對 這樣 的 羞辱 ，
汗顏	LL	不會 感到 汗顏 嗎 ？
霸占	LL	重新 開張 的 立院 依舊 在 那裡 打打鬧鬧 霸占 主席台 ，
衝擊	LL	群眾 運動 雖 能 對 社會 人心 及 秩序 造成 強烈 衝擊 ，
迫使	LL	雖 迫使 服貿 協議 退回 原點 ，
擺 爛	LL	國會 擺 爛 的 癥結 卻 完全 未 被 觸及 ，
癥結	LL	國會 擺 爛 的 癥結 卻 完全 未 被 觸及 ，
隨便	LL	立法院 、 行政院 何以 可 隨便 任 群眾 攻占 ，
暴力	LL	為何 還 被 指為 「 國家 暴力 」 而 吶 吶 難 言 ？
不能 動彈	LL	看到 國會 不能 動彈 ，
動輒	LL	少數 民眾 除了 動輒 阻擋 交通 要道 ，
癱瘓	LL	反核 群眾 動輒 癱瘓 交通 ，
動輒	LL	反核 群眾 動輒 癱瘓 交通 ，
衝突	LL	政治 與 社會 衝突 越 演 越 烈 ，
「 反 民主 」	LL	都 是 赤裸裸 的 「 反 民主 」 行為 。
踐踏	LL	也 踐踏 了 台灣 民主 體制 已經 建立 的 法制 、 代議 政治 和 公投 程序 。
嚴重	LL	遇上 歧見 嚴重 時 要 如何 折衷 ，
剝奪	LL	卻 企圖 剝奪 這些 議題 的 討論 空間 ，
不堪 想像	LL	後果 不堪 想像 。
暴力	LL	用 民主 形式 包裝 民粹 暴力 ，
「 反 民主 」	LL	作法 卻 是 「 反 民主 」 。
陷	LL	台灣 不會 陷入 恐怖 統治 的 深淵 嗎 ？
恐怖	LL	台灣 不會 陷入 恐怖 統治 的 深淵 嗎 ？
脫序	LL	當 美其名 的 「 公民 力量 」 變成 脫序 、 恫嚇 與 壓迫 的 溫床 ，
恫嚇	LL	當 美其名 的 「 公民 力量 」 變成 脫序 、 恫嚇 與 壓迫 的 溫床 ，
壓迫	LL	當 美其名 的 「 公民 力量 」 變成 脫序 、 恫嚇 與 壓迫 的 溫床 ，
爆發	LL	而 爆發 為 「 抗 中 、 反 馬 」 的 行動 。
脫序	LL	卻 因為 易於 集結 及 易於 脫序 ，
衝擊	LL	使 民主 法治 及 社會 人心 不斷 受到 衝擊 。
杯葛	LL	朝野 政黨 不斷 互相 杯葛 、 報復 、 算 舊帳 的 政治 對應 模式 ，
報復	LL	朝野 政黨 不斷 互相 杯葛 、 報復 、 算 舊帳 的 政治 對應 模式 ，
算 舊賬	LL	朝野 政黨 不斷 互相 杯葛 、 報復 、 算 舊帳 的 政治 對應 模式 ，
遑論	LL	遑論 解決 問題 。
窘境	LL	他 如何 對得起 自己 「 黨政 一 把 抓 」 最終 卻 可能 使 國民黨 輸掉 政權 的 窘境 ？
困局	LL	台灣 近年 欲 進 不 前 的 困局 必須 打破 ，
嚴重	LL	更 嚴重 的 ，
脫序	LL	是 付出 了 法治 脫序 的 代價 ，
步步 退讓	LL	馬 政府 對 街頭 群眾 一步步 退讓 ，
倒錯	LL	台灣 政治 演出 「 街頭 領導 決策 」 的 倒錯 現象 ，
杯葛	LL	反而 是 無時無刻 不 在 杯葛 施政 、 製造 分歧 ，
倒退	LL	節節 倒退 ，
迫使	LL	這 也 是 迫使 政府 正視 問題 的 重要 手段 之 一 。
陷	LL	這 只 會 愈發 使 政府 機器 陷於 空轉 ，
空轉	LL	這 只 會 愈發 使 政府 機器 陷於 空轉 ，
陷	LL	並 導致 台灣 更 陷於 停滯 和 萎弱 。
停滯	LL	並 導致 台灣 更 陷於 停滯 和 萎弱 。
萎弱	LL	並 導致 台灣 更 陷於 停滯 和 萎弱 。
杯葛	LL	揚言 要 號召 群眾 杯葛 《 自由 經濟 示範區 條例 》 的 立法 ，
抗中	LL	穿插 著 「 反 馬 」 、 「 抗中 」 、 「 反 全球化 」 、 「 反 自由 貿易 」 等 不同 層次 的 訴求 。
外患	LL	結果 卻 引來 更 大 的 外患 與 內亂 ；
內亂	LL	結果 卻 引來 更 大 的 外患 與 內亂 ；
暴力	LL	台獨 ‧ 街頭 ‧ 暴力 ：
爆發	LL	自 三一八 太陽花 學運 爆發 ，
暴力	LL	群眾 暴力 也 回來 了 。
風暴	LL	這 場 風暴 中 出現 的 群眾 ，
風暴	LL	但 這 場 風暴 的 主導 者 無疑 是 持 台獨 立場 。
風暴	LL	風暴 之 起 ，
剝奪	LL	服貿 爭議 是 因 世代 剝奪 ，
風暴	LL	如今 風暴 暫歇 ，
風暴	LL	這 場 風暴 ，
霸占	LL	而是 勝 在 以 霸占 立院 為 其 政治 勒索 的 「 籌碼 」 ；
勒索	LL	而是 勝 在 以 霸占 立院 為 其 政治 勒索 的 「 籌碼 」 ；
霸占	LL	欲 以 霸占 立院 來 解答 服貿 問題 ，
暴力	LL	即或 能 在 暴力 勒索 下 暫時 得到 一 個 扭曲 的 答案 ，
勒索	LL	即或 能 在 暴力 勒索 下 暫時 得到 一 個 扭曲 的 答案 ，
扭曲	LL	即或 能 在 暴力 勒索 下 暫時 得到 一 個 扭曲 的 答案 ，
霸占	LL	因而 也 不可能 用 霸占 立院 、 絕食 尋死 、 趴 車 堵 路 來 實現 台獨 。
風暴	LL	經 此 風暴 ，
暴力	LL	台獨 、 街頭 、 暴力 皆 已 回潮 。
風暴	LL	風暴 暫歇 ，
癥結	LL	台灣 的 問題 癥結 在 台獨 。
霸占	LL	如今 再 加上 霸占 立院 、 禁食 尋死 、 圍 路 堵車 等 街頭 及 暴力 手段 ；
尋死	LL	如今 再 加上 霸占 立院 、 禁食 尋死 、 圍 路 堵車 等 街頭 及 暴力 手段 ；
暴力	LL	如今 再 加上 霸占 立院 、 禁食 尋死 、 圍 路 堵車 等 街頭 及 暴力 手段 ；
暴力	LL	以 街頭 、 暴力 及 禁食 而 回頭 的 台獨 ，
暴力	LL	這 場 台獨 、 街頭 及 暴力 的 大 回潮 ，
嚴重	LL	對 馬政府 構成 嚴重 挑戰 ，
杯葛	LL	那 是 民進黨 在 國會 杯葛 多 時 皆 達 不 到 的 目標 。
風暴	LL	但 蔡英文 卻 是 學運 風暴 過後 「 世代 交替 」 的 獲益 者 ，
大開 大闔	LL	必須 對 兩岸 問題 提出 大開 大闔 的 新 架構 。
光榮	LL	不能 使 台灣 人民 建立 對 中華民國 的 自我 光榮感 與 未來 憧憬 。
陷	LL	兩岸 不但 仍 陷 僵局 ，
僵局	LL	兩岸 不但 仍 陷 僵局 ，
惡化	LL	兩岸 關係 趨於 惡化 的 情狀 已 迫在眉睫 。
迫在眉睫	LL	兩岸 關係 趨於 惡化 的 情狀 已 迫在眉睫 。
杯葛	LL	在野黨 立委 仍 在 進行 霸占 、 杯葛 、 謾罵 的 粗暴 遊戲 ，
霸佔	LL	在野黨 立委 仍 在 進行 霸占 、 杯葛 、 謾罵 的 粗暴 遊戲 ，
謾罵	LL	在野黨 立委 仍 在 進行 霸占 、 杯葛 、 謾罵 的 粗暴 遊戲 ，
粗暴	LL	在野黨 立委 仍 在 進行 霸占 、 杯葛 、 謾罵 的 粗暴 遊戲 ，
恥	LL	對 國 會遭 占領 之 恥 毫無 反省 ，
憂慮	LL	而 郭台銘 憂慮 的 則 是 ，
癥結	LL	癥結 在 政治 體制 無法 發揮 應 有的 效能 ，
憂心忡忡	LL	而 實業家 則 憂心忡忡 。
動輒	LL	許多 人 依舊 動輒 誇示 台灣 的 民主 「 成就 」 ，
癥結	LL	導致 台灣 無法 正視 自己 的 民主 癥結 ，
矛盾	LL	來自 族群 矛盾 與 國家 認同 衝突 這 兩 大 敏感 議題 。
衝突	LL	來自 族群 矛盾 與 國家 認同 衝突 這 兩 大 敏感 議題 。
迫使	LL	用 政治 壓力 迫使 不同 意見 的 人 噤聲 ，
噤聲	LL	用 政治 壓力 迫使 不同 意見 的 人 噤聲 ，
強迫	LL	甚至 強迫 中立 或 持 保留 看法 的 人 必須 表態 選 邊 ，
短視	LL	如果 國家 決策 進程 永遠 受 絆 於 短視 的 選舉 時程 ，
危機	LL	領導 台灣 因應 全球 金融 危機 ，
重擊	LL	近來 太陽 花 學運 及 廢 核四 風暴 更 重擊 馬 政府 經濟 政策 路線 。
衝突	LL	就 可能 成為 觸發 藍 綠 衝突 的 引信 。
陷	LL	讓 馬 政府 陷入 四處 救火 的 施政 泥沼 ；
泥沼	LL	讓 馬 政府 陷入 四處 救火 的 施政 泥沼 ；
陷	LL	讓 馬 政府 兩岸 開放 政策 及 加入 ＴＰＰ 、 ＲＣＥＰ 的 宏圖 陷入 進退兩難 的 危機 。
進退兩難	LL	讓 馬 政府 兩岸 開放 政策 及 加入 ＴＰＰ 、 ＲＣＥＰ 的 宏圖 陷入 進退兩難 的 危機 。
危機	LL	讓 馬 政府 兩岸 開放 政策 及 加入 ＴＰＰ 、 ＲＣＥＰ 的 宏圖 陷入 進退兩難 的 危機 。
仇恨	LL	從 仇恨 幻想到 反 社會 暴行
暴行	LL	從 仇恨 幻想到 反 社會 暴行
引爆	LL	持刀 殺 人 和 引爆 炸彈 不同 ，
嚴重	LL	嚴重 缺乏 良心 的 譴責 ，
譴責	LL	嚴重 缺乏 良心 的 譴責 ，
短短	LL	且 短短 數 小時 便有 上千 人 加入 ，
倉皇	LL	在 人們 倉皇 失措 時 ，
失措	LL	在 人們 倉皇 失措 時 ，
衝擊	LL	一 是 太陽 花 學運 對 民進黨 路線 的 拉扯 和 衝擊 ，
嚴重	LL	學運 不僅 嚴重 打擊 馬 政府 形象 ，
打擊	LL	學運 不僅 嚴重 打擊 馬 政府 形象 ，
迫使	LL	甚至 迫使 蘇貞昌 、 謝長廷 提前 退出 「 三 個 太陽 」 的 主席 之 爭 ，
嚴重	LL	使得 民進黨 去年 以來 一直 力求 轉型 與 突破 的 中國 政策 發生 嚴重 倒退 ，
倒退	LL	使得 民進黨 去年 以來 一直 力求 轉型 與 突破 的 中國 政策 發生 嚴重 倒退 ，
損傷	LL	她 必須 一一 處理 這些 形象 損傷 、 戰略 矛盾 、 和 路線 倒退 的 問題 ，
矛盾	LL	她 必須 一一 處理 這些 形象 損傷 、 戰略 矛盾 、 和 路線 倒退 的 問題 ，
倒退	LL	她 必須 一一 處理 這些 形象 損傷 、 戰略 矛盾 、 和 路線 倒退 的 問題 ，
暴力	LL	學生 哪 能 自由 控訴 國家 暴力
故意	LL	核心 學運 領袖 故意 拒絕 警方 的 傳訊 ，
故意	LL	抨擊 政府 是 「 故意 凌遲 ，
嚴重	LL	是 「 嚴重 侵犯 人權 」 。
侵犯	LL	是 「 嚴重 侵犯 人權 」 。
根本	LL	對於 司法 偵辦 行動 根本 毫不 在意 ；
干擾	LL	這 也 就 對 司法 人員 的 偵辦 構成 強烈 的 干擾 ：
脫序	LL	指控 他們 才 是 該 負 脫序 責任 的 禍首 ；
禍首	LL	指控 他們 才 是 該 負 脫序 責任 的 禍首 ；
暴力	LL	除非 特定 學生 做出 不可 原諒 的 違法 或 暴力 行為 ，
命 喪	LL	有 人命 喪 坦克 ，
肆無忌憚	LL	台灣 學運 領袖 之所以 能 如此 肆無忌憚 ，
矛盾	LL	是 利用 藍 綠 對立 的 矛盾 而 受到 的 特殊 保護 。
故意	LL	故意 踐踏 法治 而 自稱 是 在 爭 民主 ，
踐踏	LL	故意 踐踏 法治 而 自稱 是 在 爭 民主 ，
本末倒置	LL	切 不可 本末倒置 。
矛盾	LL	蔡英文 對 張志軍 來訪 的 六 種 矛盾
爆發	LL	在 太陽花 事件 爆發 的 反中 浪潮 中 ，
陷	LL	又 使 她 不免 陷於 逆勢 操作 。
矛盾	LL	蔡英文 可能 處於 六 種 矛盾 之中 ：
矛盾	LL	一 、 今昔 的 矛盾 ：
陷	LL	台灣 又 因 ＥＣＦＡ 的 子約 服貿協議 陷於 慘烈 內鬥 ，
慘烈	LL	台灣 又 因 ＥＣＦＡ 的 子約 服貿協議 陷於 慘烈 內鬥 ，
內鬥	LL	台灣 又 因 ＥＣＦＡ 的 子約 服貿協議 陷於 慘烈 內鬥 ，
陷	LL	卻 陷於 「 不 敢 硬 ╱ 不能 軟 」 的 兩難 境地 ，
矛盾	LL	二 、 言行 的 矛盾 ：
陷	LL	而 如今 服貿協議 已 陷 焦土戰 ，
焦土戰	LL	而 如今 服貿協議 已 陷 焦土戰 ，
矛盾	LL	三 、 內外 的 矛盾 ：
暴力	LL	並 帶頭 支持 以 暴力 非法 手段 對抗 馬政府 ；
上演	LL	而 不 是 針對 共產黨 」 已 真實 上演 ，
藉口	LL	又 難道 民進黨 的 「 反中 」 只是 「 反 馬 」 的 藉口 而已 ？
矛盾	LL	四 、 綠營 的 矛盾 ：
藉口	LL	亦 可見 其 「 反中 」 只是 「 反 馬 」 的 藉口 而已 。
矛盾	LL	五 、 明暗 的 矛盾 ：
矛盾	LL	六 、 未來 的 矛盾 ：
逼使	LL	太陽花 逼使 蔡英文 在 服貿協議 及 自由 經濟 示範區 上 必須 「 反中 」 ，
迫使	LL	但 張志軍 的 來訪 卻 又 迫使 蔡英文 必須 作 「 和 中 」 的 表態 。
陷	LL	民進黨 勢必 仍 將 陷於 「 對 馬英九 時 反中 ，
矛盾	LL	對 北京 時 和 中 」 的 矛盾 。
焦土	LL	民進黨 及 蔡英文 在 焦土 杯葛 服貿協議 之 際 ，
杯葛	LL	民進黨 及 蔡英文 在 焦土 杯葛 服貿協議 之 際 ，
矛盾	LL	雖 處 前述 六 種 矛盾 中 ，
焦土	LL	揚言 焦土 杯葛 ；
杯葛	LL	揚言 焦土 杯葛 ；
自相矛盾	LL	這 是 一 個 反差 極 大 又 自相矛盾 的 兩 手 操作 ，
上演	LL	大 戲 上演 前 ，
矛盾	LL	賓主 雙方 仍 有 其 不易 解決 的 矛盾 。
衝突	LL	張志軍 選 在 服貿 協議 衝突 激烈 及 太陽花 反中 情緒 高亢 之 際 到訪 ，
矛盾	LL	亦 不無 可能 意在 凸顯 民進黨 的 矛盾 處境 ，
迫使	LL	迫使 民進黨 對 紅 綠 兩 黨 是否 和解 攤牌 ，
迫使	LL	間接 也 迫使 民進黨 與 太陽花 及 公民 組合 等 激進 勢力 攤牌 。
叫囂	LL	並 發動 示威 叫囂 羞辱 來客 ，
羞辱	LL	並 發動 示威 叫囂 羞辱 來客 ，
矛盾	LL	張志軍 只要 能夠 凸顯出 民進黨 「 奉茶 迎賓 ╱ 服貿 焦土 」 的 矛盾 場景 ，
矛盾	LL	民進黨 的 矛盾 表現 ，
衝撞	LL	在 張志軍 「 帶 著 耳朵 」 探訪 真實 台灣 的 傾聽 之 旅 中 如影隨形 的 衝撞 ，
矛盾	LL	以免 引起 兩岸 間 不 必要 的 政治 或 外交 矛盾 。
杯葛	LL	內 有 綠營 杯葛 ，
猜疑	LL	不只 是 藍 綠 對立 或 兩岸 猜疑 ，
衝撞	LL	但 喧騰 衝撞 不 是 自由 ，
暴力	LL	少數 暴力 更 難 美其名 多元 ；
陷	LL	馬 政府 的 維安 勤務 陷入 了 一 個 新 的 困境 ：
困境	LL	馬 政府 的 維安 勤務 陷入 了 一 個 新 的 困境 ：
上演	LL	上演 了 安全 網破 漏 的 「 潑漆 事件 」 。
癥結	LL	「 潑漆 事件 」 的 癥結 ，
羞辱	LL	也 要 防止 客人 受到 羞辱 或 傷害 。
傷害	LL	也 要 防止 客人 受到 羞辱 或 傷害 。
過激	LL	有時 是 受到 示威 者 的 過激 手段 所 牽動 。
嚴重	LL	這 也 是 警方 遭 指責 「 維安 過當 」 最 嚴重 的 一 次 。
嚴重	LL	「 占領 官署 」 是 對 公權力 的 嚴重 侵犯 ，
侵犯	LL	「 占領 官署 」 是 對 公權力 的 嚴重 侵犯 ，
陷	LL	次日 整 個 中央 政府 行政 即 可能 陷於 癱瘓 。
癱瘓	LL	次日 整 個 中央 政府 行政 即 可能 陷於 癱瘓 。
暴力	LL	學 社運 團體 的 抗議 大抵 稱不上 「 暴力 」 ，
羞辱	LL	「 羞辱 」 為 目的 。
暴力	LL	由於 外觀 非暴力 ，
嚴重	LL	更 嚴重 的 是 ，
上演	LL	萬一 未來 「 占中 」 上演 真實版 ，
衝突	LL	恐 難 避免 流血 衝突 。
脫序	LL	台灣 社會 卻 面臨 脫序 的 嚴重 危機 。
危機	LL	台灣 社會 卻 面臨 脫序 的 嚴重 危機 。
嚴重	LL	台灣 社會 卻 面臨 脫序 的 嚴重 危機 。
陷	LL	警方 維安 更 陷於 無所適從 之 境 。
衝突	LL	一直 有 一 種 「 衝突 極 大化 」 的 傾向 ，
抹煞	LL	但 如果 這 被 一舉 抹煞 為 「 摸頭 」 ，
