標記內容	宣傳手法	原句	
諷刺	LL	諷刺 的 是 ，	
對付	LL	馬 政府 對付 學生 的 手法 ，	
轉捩點	LL	被 視為 威權 體制 走向 解體 、 台灣 加速 民主化 的 轉捩點 。	
衝突	LL	事件 因 美麗島 雜誌社 辦 世界 人權日 集會 爆發 衝突 ，	
叛國	LL	蔣經國 政府 宣稱 黨 外 人士 黃信介 等 陰謀 叛國 ，	
陰謀	LL	蔣經國 政府 宣稱 黨 外 人士 黃信介 等 陰謀 叛國 ，	
專制	LL	凸顯 專制 特質 。	
暴力	LL	參與 者 都 是 「 陰謀 暴力 份子 」 。	
陰謀	LL	參與 者 都 是 「 陰謀 暴力 份子 」 。	
暴力	LL	它 形塑 黨 外 人士 暴力 屬性 ，	
羅織 罪名	LL	接下來 是 羅織 罪名 的 司法 程序 。	
暴力	LL	當時 「 兩 大 報 」 的 社論 標題 「 支持 警總 依法 制裁 陰謀 暴力 份子 」 、 「 策動 暴行 應 受 國法 制裁 」 ，	
陰謀	LL	當時 「 兩 大 報 」 的 社論 標題 「 支持 警總 依法 制裁 陰謀 暴力 份子 」 、 「 策動 暴行 應 受 國法 制裁 」 ，	
暴行	LL	當時 「 兩 大 報 」 的 社論 標題 「 支持 警總 依法 制裁 陰謀 暴力 份子 」 、 「 策動 暴行 應 受 國法 制裁 」 ，	
暴力	LL	指責 「 暴力 邊緣 」 的 主張 和 行動 ，	
譴責	LL	同聲 譴責 叛國 行為 ；	
叛國	LL	同聲 譴責 叛國 行為 ；	
抹黑	LL	抹黑 民主 人士 的 謊言 ，	
嫁禍	LL	即 官方 派 打手 混入 人群 製造 事端 嫁禍 黨 外 。	
慷慨 陳詞	LL	被告 慷慨 陳詞 ，	
圖謀	LL	有效 破除 了 當局 的 污名 化 圖謀 ，	
寶貴 的	LL	也 讓 台灣 社會 上 了 一 堂 寶貴 的 民主 課程 。	
令 人 感嘆	LL	不能不 令 人 感嘆 ，	
變 不 出新 把戲	LL	馬 黨國 老狗 變 不 出新 把戲 ，	
賤 招	LL	仍 重拾 已經 失敗 的 賤 招 對付 學生 。	
暴力	LL	把 學生 與 暴力 畫上 等號 ，	
肖 話	LL	講出 「 警察 受傷 人數 比 民眾 多 」 的 肖 話 ，	
暴力	LL	卻 對 國家 暴力 閉口 不 談 。	
遭 打 臉	LL	自製 服貿 「 懶人 包 」 也 遭 打 臉 ，	
賠上	LL	卻 賠上 專業 形象 。	
失敗 的	LL	過去 失敗 的 手法 再現 ，	
墮落	LL	只 凸顯 新黨國 的 墮落 。	
不實	LL	揭露 、 反擊 、 破解 了 過氣 不實 的 黨國 輿論 製造術 。	
輿論 製造術	LL	揭露 、 反擊 、 破解 了 過氣 不實 的 黨國 輿論 製造術 。	
謊話 連篇	LL	謊話 連篇 的 官方 文宣 難以 混淆 大眾 視聽 ，	
混淆	LL	謊話 連篇 的 官方 文宣 難以 混淆 大眾 視聽 ，	
報復	LL	即使 司法 報復 ，	
恐嚇	LL	當局 只 剩 消耗戰 和 黑道 恐嚇 的 伎倆 。	
伎倆	LL	當局 只 剩 消耗戰 和 黑道 恐嚇 的 伎倆 。	
冥頑不靈	LL	馬 政府 冥頑不靈 ，	
暴力	LL	他 把 矛頭 指向 在野黨 的 「 暴力 杯葛 」 ，	
可笑	LL	真是 可笑 ，	
黑箱	LL	反對 黑箱 服貿 ，	
有志一同	LL	多數 民眾 有志一同 ，	
暴力	LL	難道 這 是 人民 的 「 暴力 杯葛 」 嗎 ？	
馬王 惡鬥	LL	不 就是 馬英九 發動 的 馬王 惡鬥 至今 未 歇 ，	
戲本	LL	以上 戲本 說明 甚麼 ？	
恐嚇 牌	LL	老是 拿 自由 貿易 及 韓國 恐嚇 牌 ，	
優哉游哉 ，	LL	但 國人 救災 、 馬英九 優哉游哉 ，	
情何以堪 。	LL	情何以堪 。	
最 爛	LL	遭 各界 批評為 有史以來 最 爛 的 名單 ，	
咎由自取	LL	被 刷掉 的 十一 人 固然 咎由自取 ，	
內慚 神明	LL	不 是 更 應該 閉門思過 、 內慚 神明 嗎 ？	
回 嗆	LL	立即 搬出 憲法 回 嗆 會 補提名單 ，	
傲慢	LL	這 就 叫做 權力 的 傲慢 ，	
高高在上	LL	那 種 高高在上 的 優越感 ，	
霸凌	LL	必然 會 形成 對 民意 的 霸凌 ，	
淪為	LL	國家 的 主人 逆來順受 就 會 淪為 僕人 。	
傲慢	LL	除了 權力 的 傲慢 ，	
垂涎三尺	LL	只 看到 讓 他們 垂涎三尺 的 「 領土 」 。	
「 無能 」	LL	英國 經濟 學人 雜誌 稱 馬英九 「 無能 」 ，	
無能	LL	馬英九 就是 「 無能 」 ，	
束手無策	LL	雙手 獨攬 權力 的 馬英九 對 天災人禍 都 是 束手無策 。	
獨攬 權力	LL	雙手 獨攬 權力 的 馬英九 對 天災人禍 都 是 束手無策 。	
「 獨裁 」	LL	馬英九 之所以 能 「 獨裁 」 ，	
無能	LL	加上 一再 證明 的 「 無能 」 ，	
自我 吞噬	LL	卻 讓 馬英九 的 黨國 權勢 走向 自我 吞噬 。	
低聲下氣	LL	他 為 「 馬習會 」 低聲下氣 ，	
復健	LL	已經 指出 台灣 民主 復健 的 方向 ，	
落伍	LL	連 民進黨 都 顯得 相對 落伍 了 ，	
黑箱	LL	馬英九 還 在 怪罪 學運 妨礙 黑箱 服貿 ，	
煙霧	LL	釋放 「 雙英會 」 的 煙霧 。	
慢半拍	LL	中央 慢半拍 ，	
杯葛	LL	拿 它 來 批評 反對黨 杯葛 服貿 協議 在 國會 審議 。	
自 失	LL	我們 對 相關 爭論 的 看法 是 ︰ 馬英九 自 失 總統 高度 ，	
中肯	LL	但 在 中肯 的 論點 之外 ，	
一廂情願	LL	這 不但 一廂情願 ，	
單挑	LL	馬英九 單挑 華爾街日報 這 一 社論 高談闊論 ，	
「 氣 爆扯 服貿 」	LL	「 氣 爆扯 服貿 」 ，	
目 無 災民	LL	離題 且 目 無 災民 ，	
不當	LL	顯 已 不當 ；	
低迷	LL	也許 自認 拉高 藍 綠 對抗 有助 拉抬 個人 和 執政黨 低迷 的 人氣 ，	
罔顧	LL	罔顧 事實 ，	
大放厥詞 。	LL	大放厥詞 。	
一意孤行 ，	LL	有 馬 主席 一意孤行 ，	
強推	LL	強推 服貿 ，	
對付	LL	正 是 中國 對付 台灣 的 「 口袋 戰術 」 ︰ 既 打壓 台灣 與 國際 經貿 互動 ，	
杯葛	LL	杯葛 與 重要 經貿 夥伴 簽署 ＦＴＡ ，	
誘使	LL	也 透過 ＥＣＦＡ 、 服貿 誘使 台灣 落入 預設 的 陷阱 ，	
一針見血	LL	都 是 一針見血 的 警告 。	
執迷不悟	LL	只有 追求 「 終極 統一 」 的 馬英九 執迷不悟 。	
併吞	LL	中國 卻 以 併吞 台灣 為 目標 ，	
不 倫	LL	「 南韓 威脅 論 」 顯然 比擬 不 倫 。	
獨沽 中國 一味	LL	馬英九 獨沽 中國 一味 ，	
無能	LL	但 無心 也 無能 的 馬 政府 能否 積極 行動 ，	
顏面 盡失	LL	讓 中國 當局 顏面 盡失 。	
食言而肥	LL	「 雨傘 革命 」 肇因 於 中國 食言而肥 ，	
障礙	LL	八月 又 對 香港 特首 普選 橫置 障礙 ，	
操控	LL	企圖 透過 篩選 候選人 以 操控 選舉 ，	
破產	LL	對 香港 及 國際 間 的 承諾 破產 ，	
奮起	LL	港人 乃 奮起 抵抗 。	
玩弄	LL	中國 殖民 與 玩弄 香港 的 本質 顯露 無遺 ，	
危機	LL	其 間 隱藏 的 危機 ，	
門戶 洞開 ，	LL	門戶 洞開 ，	
沾沾自喜	LL	馬英九 政府 沾沾自喜 的 觀光客 成長 ，	
嘈雜	LL	台灣 社會 所 詬病 的 「 一 條 龍 」 和 名勝 景點 嘈雜 紛亂 ，	
衝突	LL	香港人 與 中國客 的 衝突 不斷 ，	
惡果	LL	都 是 其 惡果 。	
對付	LL	由於 「 以 經 促 統 」 是 中國 明示 的 對付 台灣 策略 ，	
壓制	LL	中國 壓制 越 甚 ，	
「 以 商 逼 政 」	LL	經濟 受制於 中國 所 導致 的 「 以 商 逼 政 」 效應 早已 發生 ，	
哈腰	LL	紅頂 商人 對 中國 官員 哈腰 諂媚 的 場面 從 北京 演 到 台北 ，	
投票 部隊	LL	且 發動 中國 台商 投票 部隊 ，	
食髓知味	LL	且 食髓知味 ，	
危機	LL	這 是 台灣 民主 最 大 危機 。	
傷害	LL	但 傷害 更 大 的 ，	
卑躬屈膝	LL	是 他 對 中國 的 卑躬屈膝 ，	
困境	LL	把 台灣 帶 向 難以 擺脫 中國 的 困境 。	
唯命是從	LL	梁振英 對 中國 當局 唯命是從 ，	
自恃	LL	卻 自恃 曾 受 多數 選民 付託 ，	
一意孤行 ，	LL	一意孤行 ，	
傷害	LL	更 可能 幹下 嚴重 傷害 台灣 的 事 ；	
朝氣	LL	特別 是 年輕 一 代 的 清新 理想 朝氣 ，	
專制	LL	香港 不甘 被 關入 專制 牢籠 ，	
牢籠	LL	香港 不甘 被 關入 專制 牢籠 ，	
壯志	LL	如此 壯志 與 決心 ，	
見賢思齊 。	LL	見賢思齊 。	
輸掉	LL	社論 》 小心 贏得 二○一六 輸掉 台灣	
虛晃 一 招	LL	經過 兩岸 協商 虛晃 一 招 ，	
開門揖盜	LL	選擇 開門揖盜 。	
開門揖盜	LL	而 如此 開門揖盜 ，	
鯨吞	LL	馬英九 不惜 讓 中國 鯨吞 蠶食 我國 主權 、 國安 ，	
蠶食	LL	馬英九 不惜 讓 中國 鯨吞 蠶食 我國 主權 、 國安 ，	
可悲	LL	且 對 台灣 而 言 極為 可悲 的 是 ：	
併吞	LL	此 兩 者 的 結局 都 一樣 有利於 中國 併吞 。	
黑 箱	LL	馬英九 強推黑 箱 服 貿 ，	
強 渡 關山	LL	企圖 在 立法院 倚仗 優勢 強 渡 關山 ，	
民怨	LL	「 半 分 忠 」 引爆 民怨 火山 噴發 ，	
火山 噴發	LL	「 半 分 忠 」 引爆 民怨 火山 噴發 ，	
黑箱	LL	成功 阻擋 黑箱 服 貿 ，	
崩盤	LL	國民黨 選舉 崩盤 主席 換人 ，	
撐腰	LL	他 只 能 倚賴 中國 撐腰 ，	
敲詐	LL	中國 也 極 有 技巧 地 敲詐 馬英九 奉送 更多 的 籌碼 ，	
放任	LL	放任 中國 如 入 無 人 之 境 ，	
肆	LL	肆 行 其 直接 接觸 三 中 一 青 的 新 統戰 攻勢 ，	
暗潮 比 浪花 還 多	LL	暗潮 比 浪花 還 多 。	
害 台	LL	阻擋 這 種 新 型態 的 「 無 作為 」 害 台 。	
蕩然無存	LL	武德 蕩然無存 ，	
賣國	LL	形同 賣國 叛國 ，	
叛國	LL	形同 賣國 叛國 ，	
爽 歪歪	LL	先 讓 那些 軍官 共諜 爽 歪歪 ，	
逢迎	LL	那些 逢迎 中國 來人 ，	
向 中國 傾斜	LL	不僅 是 政策 向 中國 傾斜 ，	
向 中國 靠攏	LL	連 認同 都 已經 向 中國 靠攏 了 。	
分官	LL	忙著 分贓 分官搶 立委 ，	
分贓	LL	忙著 分贓 分官搶 立委 ，	
媚共	LL	文官 媚共 不 以 為恥 ，	
不 以 為恥	LL	文官 媚共 不 以 為恥 ，	
怵目驚心	LL	這些 看 得到 的 已經 夠 怵目驚心 了 ，	
恐怖	LL	還 有 多少 看 不 到 卻 更 恐怖 的 事情 正在 發生 ？	
矛盾	LL	中國 必 會 利用 馬朱 的 黨政 矛盾 ，	
漁獵	LL	漁獵 最 大 的 利益 。	
輸掉	LL	輸掉 台灣 ，	
悲哀	LL	那 才 是 沒 救 的 悲哀 。	
石破天驚	LL	各 方 對 這 一 石破天驚 的 公民 運動 熱烈 回顧 並 展望 。	
挺身而出	LL	青年 學生 與 公民 挺身而出 ，	
黑箱	LL	為 抗議 馬政府 服貿 協議 黑箱 作業 ，	
罔顧	LL	中國 國民黨 所 掌控 的 立法院 罔顧 民意 ，	
無比 威力	LL	發揮 了 網路 世代 全球 連結 的 無比 威力 ，	
震撼	LL	也 震撼 馬 黨國 ，	
向 中國 傾斜	LL	對 馬政府 向 中國 傾斜 政策 當頭棒喝 ，	
熱潮	LL	不但 在 台北 捲起 柯 Ｐ 熱潮 ，	
灰頭土臉	LL	讓 執政黨 灰頭土臉 ，	
被迫	LL	馬英九 因之 被迫 辭去 黨主席 ，	
熱力	LL	太陽花 的 熱力 還 渡海 到 香港 ，	
助成	LL	助成 「 雨傘 革命 」 。	
反感	LL	最 令 人 反感 的 ，	
傷害	LL	傷害 社會 正義 ，	
吐 槽	LL	三一八 週年 日 卻 不惜 對 民間版 「 兩岸 監督 條例 」 吐 槽 ，	
施暴	LL	而 其 不 放棄 追訴 太陽花 青年 、 不 細究 對 手無寸鐵 民眾 施暴 的 公務員 ，	
言行 不一	LL	最 是 言行 不一 。	
偷渡	LL	服貿 自 經 別 偷渡 」 ；	
偷渡	LL	監督 馬政府 濫 以 行政 命令 偷渡 對 中國 開放 政策 。	
偷渡	LL	馬政府 的 高官 仍 不惜 以 偷渡 方式 繼續 其 對 中國 門戶 洞開 的 作為 。	
偷偷	LL	但 雙方 貨貿 協議 談判 仍 偷偷 進行 ，	
詬病	LL	從 打破 最 受 詬病 的 鳥籠 公投 限制 ，	
鳥籠	LL	從 打破 最 受 詬病 的 鳥籠 公投 限制 ，	
失靈	LL	匡正 代議 政治 失靈 的 國會 選制 改革 ，	
紙上談兵	LL	一切 都 仍 停留 在 紙上談兵 階段 ；	
中肯	LL	最為 中肯 。	
漠視	LL	主要 政黨 及 政治 領袖 不可 漠視 這 一 人民 求變 求新 求 合理 的 心聲 與 要求 。	
「 改變成 真 」	LL	帶領 台灣 邁向 「 改變成 真 」 新 境界 。	
啟發	LL	太陽花 雖 「 有 歷史 啟發 作用 」 ，	
崩盤	LL	主要 原因 自是 九合一 崩盤 ，	
矛盾	LL	馬吳王朱 之間 的 矛盾 、 心結 、 鬥爭 ，	
心結	LL	馬吳王朱 之間 的 矛盾 、 心結 、 鬥爭 ，	
鬥爭	LL	馬吳王朱 之間 的 矛盾 、 心結 、 鬥爭 ，	
諷刺	LL	諷刺 的 是 ，	
低迷	LL	國民黨 陷入 低迷 ，	
背離	LL	這 便 形成 一 種 政治力 與 社會力 背離 的 變態 ，	
變態	LL	這 便 形成 一 種 政治力 與 社會力 背離 的 變態 ，	
淘汰	LL	馬英九 已 遭 民意 淘汰 ，	
虛晃 一 招	LL	修憲 口號 僅 止於 虛晃 一 招 ，	
游離	LL	給 人 游離 民意 ，	
深化 	LL	堪稱 「 主權 在 民 」 價值 的 深化 與 鞏固 。	
鞏固	LL	堪稱 「 主權 在 民 」 價值 的 深化 與 鞏固 。	
脫胎換骨	LL	必須 脫胎換骨 ，	
霸凌	LL	黨意 霸凌 民意 ，	
一廂情願	LL	社論 》 參與 亞投行 不可 一廂情願	
向 中國 傾斜	LL	也許 很 符合 馬 政府 一貫 的 向 中國 傾斜 政策 ，	
愚蠢	LL	卻 是 冒進 、 愚蠢 而 一廂情願 。	
一廂情願	LL	卻 是 冒進 、 愚蠢 而 一廂情願 。	
向 中國 傾斜	LL	即使 要 向 中國 傾斜 ，	
淪為	LL	以致 如今 淪為 騙人 的 口號 。	
騙人 的 口號	LL	以致 如今 淪為 騙人 的 口號 。	
打壓	LL	實際 上 中國 對 台灣 的 國際 打壓 從不 鬆手 ；	
傷害	LL	只 開 觀察員 等 小 門 也 總 令 國家 尊嚴 備受 傷害 。	
被迫	LL	仍 因 中國 因素 被迫 改名為 「 中國 ． 台北 」 至今 。	
困境	LL	經濟 困境 無解 ，	
奮起	LL	反而 人民 奮起 反對 後續 的 服貿 協議 之後 ，	
惡果	LL	其 政經 惡果 卻 由 社會 整體 承擔 ，	
震撼	LL	經過 太陽花 及 九 合一 的 震撼 ，	
向 下 扎根	LL	老共 想 進一步 「 向 下 扎根 」 ，	
落伍	LL	中國 想 利用 落伍 的 民族 主義 ，	
利用	LL	中國 想 利用 落伍 的 民族 主義 ，	
打入 黑 牢	LL	老共 卻 將 他 打入 黑 牢 ，	
大刀	LL	老共 總是 揮舞 民族 主義 的 大刀 橫衝直撞 ，	
橫衝直撞	LL	老共 總是 揮舞 民族 主義 的 大刀 橫衝直撞 ，	
矮化	LL	既 矮化 台灣 的 主權 地位 ，	
淪為	LL	也 淪為 中國 在 國際 製造 麻煩 的 幫凶 。	
騙局	LL	民族 主義 不只 一 次 被 證明 是 一 場 騙局 。	
玩弄	LL	還 玩弄 民族 主義 ，	
向 中國 傾斜	LL	一 則 虛張 向 中國 傾斜 乃至 終極 統一 的 聲勢 。	
淪為	LL	否則 淪為 站 在 香港 旁邊 的 「 中國 的 台北 」 ，	
一意孤行 ，	LL	馬 政府 仍 一意孤行 ，	
無能	LL	真是 治國 無能 、 害台 有 謀 。	
害台	LL	真是 治國 無能 、 害台 有 謀 。	
有 謀	LL	真是 治國 無能 、 害台 有 謀 。	
不顧	LL	根本 不顧 國家 主權 ，	
偷偷摸摸	LL	何必 偷偷摸摸 ？	
崩盤	LL	選舉 崩盤 ，	
反擊	LL	馬英九 才 握 著 拳頭 說 要 「 反擊 」 ，	
握 著 拳頭	LL	馬英九 才 握 著 拳頭 說 要 「 反擊 」 ，	
反擊	LL	他 所謂 的 「 反擊 」 ，	
黑箱	LL	無非 是 濫用 總統 職權 當 「 黑箱 」 ，	
濫用	LL	無非 是 濫用 總統 職權 當 「 黑箱 」 ，	
綁手綁腳	LL	從而 接下 一 個 綁手綁腳 的 「 一 中 架構 」 ！	
覺醒	LL	公民 要 覺醒 ，	
黑箱	LL	繼續 搞 黑箱 「 反擊 」 ，	
反擊	LL	繼續 搞 黑箱 「 反擊 」 ，	
濫用	LL	馬英九 濫用 總統 職權 ，	
目無	LL	目無 民意 ，	
錯誤	LL	此 種 錯誤 思維 導致 其 中國 政策 愈 陷 愈 深 ，	
愈 陷 愈 深	LL	此 種 錯誤 思維 導致 其 中國 政策 愈 陷 愈 深 ，	
嚴重	LL	嚴重 損害 台灣 的 利益 。	
損害	LL	嚴重 損害 台灣 的 利益 。	
高高在上	LL	而 中國 卻 高高在上 ，	
錯誤	LL	必須 歸因於 兩 個 錯誤 觀念 。	
向 中國 傾斜	LL	錯 把 向 中國 傾斜 ，	
向 中國 傾斜	LL	操作 成 台灣 要 向 中國 傾斜 ，	
操作	LL	操作 成 台灣 要 向 中國 傾斜 ，	
嚴重	LL	這 是 嚴重 的 扭曲 。	
扭曲	LL	這 是 嚴重 的 扭曲 。	
崩盤	LL	價格 崩盤 ，	
淪為	LL	蕭習 會 淪為 握手 寒暄 的 儀式 ，	
儀式	LL	蕭習 會 淪為 握手 寒暄 的 儀式 ，	
殘酷	LL	馬政府 必須 認清 一 個 殘酷 的 事實 ：	
被迫	LL	馬英九 因此 被迫 辭去 中國 國民黨 主席 職務 。	
挫折	LL	經 此 重大 民意 挫折 ，	
傷害	LL	都 可 降低 對 國家 社會 的 繼續 傷害 。	
漠視	LL	他 漠視 民意 ，	
一意孤行 ，	LL	仍 一意孤行 ，	
不 倫	LL	既 不 倫 也 不智 ，	
不智	LL	既 不 倫 也 不智 ，	
打壓	LL	都 是 中國 打壓 所 致 。	
打壓	LL	卻 主動 接受 被 打壓 的 名稱 ，	
虛假	LL	也 再度 印證 「 九二 共識 」 的 虛假 詐騙 本質 。	
詐騙	LL	也 再度 印證 「 九二 共識 」 的 虛假 詐騙 本質 。	
矛盾	LL	矛盾 衝突 事件 頻傳 ，	
威脅	LL	習 近 平 上 月 以 「 地 動 山搖 」 威脅 台灣 接受 「 九二 共識 」 ，	
卑躬屈膝	LL	不過 是 建立 在 馬 政府 對 中國 卑躬屈膝 之上 的 表象 ；	
危機	LL	有如 近日 阿帕契 案 所 暴露 的 危機 ，	
悖離	LL	馬英九 悖離 民意 、 心態 不變 ，	
漠視	LL	也 漠視 要求 修憲 的 普遍 民意 。	
併吞	LL	企圖 併吞 台灣 的 中國 ，	
淪為	LL	淪為 在野黨 的 國民黨 ，	
崩盤	LL	馬英九 跛腳 、 選舉 崩盤 ，	
跛腳	LL	馬英九 跛腳 、 選舉 崩盤 ，	
崩盤	LL	到 九 合一 選舉 國民黨 崩盤 ，	
崩盤	LL	國民黨 崩盤 。	
薄 如 紙	LL	民意 基礎 薄 如 紙 的 馬英九 ，	
一意孤行 ，	LL	一意孤行 ，	
危機	LL	這 就是 台灣 當前 危機 的 寫照 ：	
害 台	LL	馬英九 把 危害 台灣 的 事 ，	
強 渡 關山	LL	編 一 大 堆 歪理強 渡 關山 ，	
歪理	LL	編 一 大 堆 歪理強 渡 關山 ，	
反擊	LL	所謂 的 「 反擊 」 ，	
無能	LL	所謂 治國 無能 、 害台 有 能 ，	
害台	LL	所謂 治國 無能 、 害台 有 能 ，	
一針見血	LL	確實 一針見血 道出 馬英九 的 心 跡 。	
危機	LL	看透 危機 。	
失敗 的	LL	如果 還要 「 延續 」 失敗 的 總路線 ，	
淪為	LL	搞不好 還 淪為 「 葬送 本土 」 的 政權 哩 。	
淪為	LL	搞不好 還 淪為 「 葬送 本土 」 的 政權 哩 。	
剝奪	LL	卻 剝奪 大多數 人 的 就業 、 所得 、 居住 等 人權 與 正義 。	
遲鈍	LL	難道 該 黨 對 民意 風向 已經 遲鈍 至 此 ？	
諷刺	LL	諷刺 的 是 ，	
困境	LL	恐 將 面臨 進退失據 的 困境 。	
進退失據	LL	恐 將 面臨 進退失據 的 困境 。	
衝突	LL	表面 上 有效 降低 了 衝突 的 發生 ，	
淪為	LL	在 國際 組織 淪為 中國 的 小 跟班 ，	
小 跟班	LL	在 國際 組織 淪為 中國 的 小 跟班 ，	
騙局	LL	也 都 是 騙局 居多 。	
黑箱	LL	二○一○年 黑箱 簽署 的 ＥＣＦＡ ，	
黑箱	LL	接下來 的 黑箱 服 貿 ，	
暴力	LL	馬英九 仍 想 藉 國會 多數 暴力 強 渡 關山 ，	
崩盤	LL	從而 導致 國民黨 在 九 合一 選舉 崩盤 。	
反擊	LL	依舊 揚言 要 反擊 ，	
淪為	LL	「 三 限 六 不 」 隨即 淪為 具文 ，	
敲詐	LL	敲詐 跛腳 馬 的 價碼 也 愈來愈 高 。	
無能	LL	「 把 無能 當 有趣 」 ，	
諷刺	LL	真是 民主 的 莫大 諷刺 。	
黑箱	LL	《 社論 》 黑箱 課綱 黨國 餘孽	
黑箱	LL	教育部 強行 要求 教科書 根據 黑箱 課綱 編寫 ，	
硬	LL	且 硬 拗 課綱 內容 沒 問題 。	
黑箱	LL	「 反 黑箱 課綱 行動 聯盟 」 痛 批 ，	
恐怖	LL	新課 本 把 二二八 事件 、 白色恐怖 悉 予 刪除 ，	
眼 中 毫無	LL	眼 中 毫無 民意 ，	
恐怖	LL	把 二二八 事件 、 白色恐怖 悉 予 顛覆 ，	
顛覆	LL	把 二二八 事件 、 白色恐怖 悉 予 顛覆 ，	
黑箱	LL	在 黑箱 課綱 ，	
恐怖	LL	卻 迴避 他 在 白色恐怖 蒙冤 被 槍斃 。	
黑箱	LL	黨 產 黑箱 ，	
黑箱	LL	服貿 黑箱 ，	
黑箱	LL	課綱 黑箱 ，	
崩盤	LL	去年 選舉 崩盤 ，	
黑箱	LL	都 對 黑箱 政治 深惡痛絕 。	
暴力	LL	崇拜 黑箱 政治 的 權力 暴力 ，	
專制	LL	卻 與 對岸 的 專制 者 如膠似漆 ，	
風險	LL	冒 著 命喪 黑 水溝 的 風險 ，	
黑箱	LL	拒絕 這 種 黑箱 課綱 、 倒退 嚕 教科書 ，	
倒退 嚕	LL	拒絕 這 種 黑箱 課綱 、 倒退 嚕 教科書 ，	
崩盤	LL	國民黨 崩盤 ，	
反擊	LL	甚至 還 握拳 揚言 要 「 反擊 」 ！	
反擊	LL	如何 「 反擊 」 ？	
反擊	LL	他 的 「 反擊 」 就是 把 虛構 的 「 九二 共識 」 假戲真做 走到 底 ，	
無能	LL	這 位 跛腳 總統 無能 也 無心 推動 內政 了 ，	
硬	LL	竟 可 穿越 時空 硬 栽 到 一九九二年 ，	
瞎掰	LL	中國黨 的 瞎掰 能力 ，	
唾棄	LL	被 民意 唾棄 ，	
戲碼	LL	最近 在 立法院 院會 又 上演 闖關 、 杯葛 、 棄守 、 反制 的 戲碼 ，	
困境	LL	民進黨 似乎 對於 做為 國會 少數 黨 的 困境 並 不以為意 ，	
杯葛	LL	為何 還要 耗費 資源 杯葛 ？	
明目張膽	LL	馬 政府 現在 實踐 「 兩岸 同 屬 一 中 」 是 多麼 明目張膽 。	
濫	LL	依舊 濫用 其 實質 影響力 ，	
淪為	LL	朱立倫 淪為 「 看板 主席 」 ，	
淪為	LL	二 是 即使 淪為 在野黨 ，	
傷害	LL	對 台灣 人民 感情 傷害 很 大 。	
可笑	LL	可笑 的 是 ，	
傷害	LL	這 叫 甚麼 傷害 ？	
恐嚇	LL	來 恐嚇 台灣 人民 接受 任由 中國 定義 的 「 九二 共識 」 ？	
背離	LL	馬英九 背離 民意 ，	
破解	LL	破解 「 馬英九 思想 萬歲 」 的 迷宮 。	
迷宮	LL	破解 「 馬英九 思想 萬歲 」 的 迷宮 。	
迷航	LL	恐 將 迷航 於 「 一 中 萬有引力 」 ，	
恐	LL	恐 將 迷航 於 「 一 中 萬有引力 」 ，	
併吞	LL	對 外 無法 抗拒 併吞 壓力 ，	
詬病	LL	馬英九 施政 最 令 人 詬病 之 處 ，	
沾沾自喜	LL	他 沾沾自喜 的 稅改 便是 假 改革 的 負面 教材 。	
大肆	LL	在 全球 市場 大肆 炒作 ，	
淪為	LL	遂 淪為 假 改革 。	
假	LL	遂 淪為 假 改革 。	
障礙	LL	所有 阻擋 年金 改革 的 行政 立法 障礙 皆 不 存在 ，	
危機	LL	化解 台灣 希臘化 危機 ，	
反擊	LL	或者 採取 政治 反擊 ，	
錯誤	LL	社論 》 經國 先生 最 大 的 錯誤 ？	
崩盤	LL	九 合一 選舉 崩盤 ，	
反擊	LL	誓言 反擊 。	
被迫	LL	被迫 辭去 黨主席 ，	
灰頭土臉	LL	國民黨 灰頭土臉 ，	
淪為	LL	黨 內 初選 也 淪為 一 場 兒戲 。	
兒戲	LL	黨 內 初選 也 淪為 一 場 兒戲 。	
玩弄	LL	一 面 玩弄 實質 影響力 ，	
杯葛	LL	施政 備受 杯葛 。	
淪為	LL	淪為 他 的 護航 部隊 。	
霸凌	LL	馬意霸凌 民意 ，	
遍 地 開花	LL	即使 公民 之 怒 遍 地 開花 ，	
錯誤	LL	「 經國 先生 最 大 的 錯誤 就是 開放 報禁 ，	
塗脂抹粉	LL	竟 有 國策 顧問 為 主子 塗脂抹粉 說 ：	
錯誤	LL	經國 先生 最 大 的 錯誤 ，	
大言不慚	LL	竟 大言不慚 「 我 晚上 都 睡 得 很 好 」 。	
反擊	LL	處處 針對 在野黨 總統 候選人 「 反擊 」 ，	
反擊	LL	除了 「 反擊 」 在野黨 ，	
目 無	LL	堪稱 一 位 目 無 民意 的 總統 ，	
反擊	LL	至於 對 「 本黨 」 的 「 反擊 」 ，	
劇本	LL	在 「 朱 習會 」 演出 馬英九 的 「 兩岸 同屬 一 中 」 劇本 之後 ，	
反擊	LL	他 的 「 反擊 」 目標 便 集中 在 主張 「 維持 兩岸 現狀 」 的 蔡英文 身 上 。	
不顧	LL	更 不顧 主權 尊嚴 ，	
黑箱	LL	反對 黑箱 課綱 ，	
黑箱	LL	延續 反對 黑箱 服 貿 的 公民 運動 ！	
淪為	LL	主張 淪為 少數 ，	
反擊	LL	他 的 「 反擊 」 部署 ，	
淪為	LL	二 是 掐住 可能 淪為 在野黨 的 國民黨 ，	
強迫	LL	透過 老共 、 老美 強迫 蔡英文 吞下 他 過去 七 年 來 改變 過 的 「 現狀 」 。	
反擊	LL	人民 終於 「 反擊 」 了 ，	
